birth_year,games,games_starts,minutes,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,goals
2000,8,7,619,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0.02,0,0,225,295,76.3,3650,1356,120,137,87.6,82,107,76.6,19,34,55.9,0,4,10,8,2,20,230,65,7,2,2,2,6,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,9,13,1.89,9,2,2,0,2,0,0,0,0,0,0,0,0,16,10,12,4,0,0,0,0,0,0,0,0,0,0,0,8,4,4,4,3,13,0,360,21,135,157,74,6,360,360,360,360,360,360,176,176,176,11,7,5,5,177,177,7,5,0,8,16,2,0,1,0,40,2,9,18.2,0
2002,5,3,318,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.08,0.08,0.08,0.08,0.08,3.5,0,1,0,100,100,0.28,0,0,0.27,-0.3,-0.3,45,60,75,679,151,26,30,86.7,18,22,81.8,1,1,100,0,3,2,6,0,9,54,5,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,1.42,5,0,0,0,0,1,0.28,1,0,0,0,0,0,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,0,0,95,2,13,43,43,8,95,95,95,95,95,95,61,61,61,7,5,3,3,59,59,8,6,0,9,3,1,0,0,0,18,0,11,0,0
1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,5,5,5,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,8,4,333,0,0,0,0,0,0.27,0,0.27,0.27,0.27,0.6,0.6,0.6,0.17,0.17,0.17,0.17,0.17,3.7,0,1,0,20,20,0.27,0.2,1,0.13,0.4,0.4,35,48,72.9,525,154,19,23,82.6,14,20,70,2,4,50,0,5,3,1,0,6,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1.89,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,6,0,112,6,13,44,57,17,112,112,112,112,112,112,57,57,57,3,3,2,2,71,71,16,5,0,9,3,3,0,0,0,10,8,13,38.1,1
2002,7,3,327,1,0,0,0,0,0.55,0.28,0.83,0.55,0.83,0.7,0.7,0.7,0.2,0.2,0.2,0.2,0.2,3.6,0,4,0,80,80,1.1,0.4,0.5,0.15,1.3,1.3,83,102,81.4,1240,294,57,65,87.7,20,27,74.1,6,8,75,1,4,1,5,3,2,98,4,0,2,2,1,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,7,1.92,4,0,0,0,0,2,0.55,1,0,0,0,0,1,10,7,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,6,1,0,154,6,40,52,64,13,154,154,154,154,154,154,84,84,84,10,3,7,7,92,92,11,3,0,8,3,3,0,0,0,21,2,0,100,2
1996,7,7,606,0,0,0,2,1,0.15,0,0.15,0.15,0.15,0.7,0.7,0.7,0.11,0.11,0.11,0.11,0.11,6.7,0,1,0,16.7,16.7,0.15,0.17,1,0.12,0.3,0.3,251,311,80.7,5225,2374,92,96,95.8,113,122,92.6,38,80,47.5,0,1,12,1,0,13,277,33,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,2,0,0,0,0,0,0,0,0,0,0,0,16,13,13,3,10,32,1,384,78,232,143,11,8,384,384,384,384,384,384,211,211,211,2,1,0,0,228,228,3,1,1,6,3,0,0,1,0,26,16,10,61.5,1
2002,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,25,33,75.8,342,91,11,13,84.6,12,15,80,0,0,0,0,0,1,0,0,4,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2.37,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,4,9,22,0,35,35,35,35,35,35,27,27,27,4,1,0,0,28,28,0,0,0,2,1,0,0,0,0,4,0,0,0,0
1999,8,8,720,0,0,0,3,0,0,0,0,0,0,0.9,0.9,0.9,0.11,0.11,0.11,0.11,0.11,8,0,1,0,12.5,12.5,0.12,0,0,0.11,-0.9,-0.9,222,298,74.5,3359,1399,129,152,84.9,71,88,80.7,16,41,39,0,0,12,1,0,11,273,24,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,21,1,1,1,6,6,0.75,5,0,0,1,0,1,0.12,0,0,0,1,0,0,17,12,13,2,2,2,2,2,2,2,2,2,2,2,2,17,11,11,6,11,28,0,391,54,199,146,48,10,391,391,391,391,391,391,163,163,163,3,6,2,2,197,197,3,6,0,11,2,1,0,0,0,37,13,12,52,0
1996,5,5,397,0,0,0,3,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,4.4,0,0,0,0,0,0,0,0,0.02,0,0,97,141,68.8,1600,663,51,62,82.3,38,51,74.5,7,21,33.3,0,1,7,0,0,11,115,25,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,20,1,1,1,4,7,1.59,3,1,1,0,1,0,0,0,0,0,0,0,0,12,9,9,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,13,0,186,19,74,70,43,1,186,186,186,186,186,186,85,85,85,9,9,2,2,95,95,2,3,0,6,5,1,0,0,0,22,5,1,83.3,0
2001,8,7,514,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.5,0.09,0.09,0.09,0.09,0.09,5.7,0,0,0,0,0,0,0,0,0.24,-0.5,-0.5,197,250,78.8,2864,975,117,130,90,63,79,79.7,9,20,45,0,3,13,4,0,26,205,44,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,38,38,1,1,1,5,7,1.22,5,1,1,0,1,1,0.17,0,0,0,0,1,0,18,11,11,5,2,2,2,2,2,2,2,2,2,2,2,10,5,5,5,5,13,0,320,22,108,135,83,6,320,320,320,320,320,320,177,177,177,9,10,1,1,191,191,9,12,0,10,11,0,0,0,0,30,7,5,58.3,0
